api,query,avg_time,avg_size
GraphQL,Simple,13.530462098121642,11891.0
GraphQL,Complex,15.23861105442047,75645.0
Rest,Simple,10.015910291671753,5506263.0
Rest,Complex,22.152108120918275,801478.0
